Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
nutriologo cerca de mi,Transactional,14800,25.0,0.37,"Image, Video, People also ask, Local pack, Related searches"
nutriologo cdmx,Commercial,2400,27.0,0.57,"Sitelinks, Image, Video, Local pack, Related searches"
nutricion clinica,Commercial,2400,22.0,0.63,"AI Overview, Video, Local pack, Related searches"
historia clinica nutricional,"Informational, Commercial",1900,14.0,0.0,"Image pack, Video, Related searches"
maestria en nutricion clinica,"Informational, Commercial",1600,23.0,0.85,"Video, Related searches"
nutriologo clinica,Commercial,1300,32.0,0.33,"Sitelinks, Video, Video carousel, Local pack, Knowledge panel, Related searches"
nutriólogo cerca de mi ubicación,Transactional,1300,22.0,0.31,"Image, Video, Local pack, Related searches, Ads bottom"
nutriologo clinico,Informational,1000,31.0,0.4,"AI Overview, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches"
nutriologos cdmx,Commercial,720,22.0,0.21,"Image, Video, People also ask, Local pack, Related searches"
nutricion en el adulto mayor,Informational,720,45.0,0.28,"AI Overview, Video, Related searches"
soporte nutricional,Informational,590,24.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
nutriologa cerca de mi,Transactional,480,28.0,0.32,"Sitelinks, Image, Image pack, Video, Local pack, Related searches"
nutricion hospitalaria,Navigational,480,27.0,0.0,"Sitelinks, Image pack, Video, Related searches"
clinica de nutricion,Commercial,480,22.0,0.43,"Image, Video, People also ask, Local pack, Related searches"
diplomado nutricion clinica,Commercial,390,12.0,1.0,"Sitelinks, Image pack, Video, Related searches, Ads bottom"
nutriologa cdmx,Commercial,390,21.0,0.43,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
trabajo nutriologa cdmx,Commercial,390,21.0,0.01,"Video, Jobs, Related searches"
nutriologos en cdmx,Commercial,320,21.0,0.5,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
nutriologo en cdmx,Commercial,320,21.0,0.5,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
empleo nutriologa cdmx,Commercial,320,23.0,0.01,"Video, Jobs, Related searches"
nutricion geriatrica,Informational,320,23.0,0.3,"AI Overview, Video, Related searches"
bolsa de trabajo nutriologo cdmx,Commercial,260,23.0,0.01,"Video, Jobs, Related searches"
nutriologo deportivo cdmx,Informational,260,17.0,0.57,"Image, Video, Knowledge panel, Related searches"
que es nutricion clinica,Informational,260,14.0,0.0,"AI Overview, Video, Video carousel, Related searches"
historia clinica nutricional pdf,"Informational, Commercial",260,18.0,0.0,"Image pack, Video, Related searches"
crema de cacahuate recomendada por nutriologos,Informational,260,26.0,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
bolsa de trabajo nutriologos cdmx,Commercial,210,22.0,0.02,"Jobs, Related searches"
clínica alex alvarez dermoestética y nutrición,Navigational,210,39.0,0.0,"Sitelinks, Video, Knowledge panel"
especialidad en nutricion clinica,Informational,210,19.0,1.18,"Video, Video carousel, Related searches, Ads top, Ads bottom"
especialidad en nutrición clínica,Informational,210,21.0,1.07,"Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
historia clinica nutricional formato,"Informational, Commercial",210,17.0,0.57,"Image pack, Video, Related searches"
vacante nutriologa cdmx,Commercial,210,23.0,0.01,"Jobs, Related searches"
clinicos nutricion,Informational,210,28.0,0.37,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
historia clinica de nutricion,Informational,170,13.0,0.0,"Image pack, Video, Related searches"
nutriologo clinico en monterrey,Commercial,170,21.0,0.29,"Sitelinks, Image, Video, Local pack, Related searches"
formato de historia clinica nutricional,"Informational, Commercial",140,19.0,0.38,"Image, Image pack, Video, Related searches"
nutriologo geriatra,Commercial,140,19.0,0.28,"Video, Local pack, Related searches"
historia clínica nutricional pediátrica,"Informational, Commercial",140,17.0,0.0,"Video, Related searches"
evaluación clinica nutricional,Informational,140,18.0,0.0,"AI Overview, Image pack, Video, Video carousel, Related searches"
clinica matsya yoga & nutrición,"Informational, Navigational",140,35.0,0.0,"Sitelinks, Image, Video, Knowledge panel, Related searches"
caso clinico nutricional,Informational,140,12.0,0.0,"Image, Video, Related searches"
caso clínico nutricional,"Informational, Commercial",140,13.0,0.0,"Video, Related searches"
ce nutre centro de nutrición clínica y bariatría,Navigational,140,38.0,0.0,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
que es un nutriologo clinico,Informational,140,16.0,0.0,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches"
mejor nutriologo cdmx,Commercial,140,23.0,0.39,"Sitelinks, Video, People also ask, Local pack, Related searches"
nutriologo cdmx barato,Commercial,140,22.0,0.36,"Sitelinks, Image, Video, People also ask, Local pack, Related searches, Ads bottom"
que es un nutriólogo clínico,Informational,140,14.0,0.0,"AI Overview, Video, Short videos, Related searches"
mejore su figura nutriologo,Informational,110,20.0,0.0,"Sitelinks, Video, Knowledge panel"
nutrición clínica buap,"Informational, Transactional",110,28.0,0.59,"AI Overview, Video, Knowledge panel, Related searches"
nutricion clinica y dietoterapia rodota,"Informational, Commercial",110,14.0,0.0,"Sitelinks, Video, Related searches"
nutricion clinica y dietoterapia,"Informational, Commercial",110,12.0,0.0,"Sitelinks, Video, Related searches"
nutricion clinica libro,Informational,110,10.0,0.0,"Image pack, Video, Video carousel, Related searches"
