Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
migraña digestiva,Informational,140,27,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
intestino cerebro,Informational,210,20,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Knowledge panel, Related searches"
dolor de cabeza y estomago inflamado,Informational,320,34,0.24,"AI Overview, Image, Video, People also ask, Related searches"
probioticos flora intestinal,Informational,590,26,0.16,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
microbiota cutánea,Informational,260,19,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Knowledge panel, Related searches"
serotonina e intestino,Informational,110,33,0.00,"AI Overview, Image, Image pack, People also ask"
microbiota de la piel,Informational,480,16,0.08,"Sitelinks, Image, Image pack, Video, Knowledge panel, Related searches"
intestino como segundo cerebro,Informational,140,17,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
dolor de cabeza y dolor de estomago,Informational,320,28,0.00,"Sitelinks, AI Overview, Image, Video, People also ask"
el segundo cerebro,Informational,170,34,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
probioticos intestinales,Informational,320,27,0.16,"Sitelinks, AI Overview, Image, Image pack, Related searches"
microbiota cutanea,Informational,260,18,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Knowledge panel, Related searches"
dolor de panza y cabeza,Informational,140,31,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
cual es el segundo cerebro del cuerpo humano,Informational,260,34,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
segundo cerebro del cuerpo humano,Informational,320,21,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
dolor de cabeza y malestar estomacal,Informational,140,22,0.00,"AI Overview, Image, Video, Related searches"
beneficios de tomar probioticos,Informational,480,39,0.06,"AI Overview, Image pack, Video, People also ask, Related searches, Ads bottom"
neuronas en el estomago,Informational,390,31,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
cerebro salud mental,Informational,260,23,0.00,"Image, Image pack, People also ask, Related searches"
intestino segundo cerebro,Informational,140,38,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
el intestino tiene neuronas,Informational,110,22,0.00,"AI Overview, Image, Image pack, Video, Related searches"
bifidobacterium infantis para que sirve,Informational,140,31,0.26,"Sitelinks, AI Overview, Video, People also ask, Related searches"
estreñimiento y dolor de cabeza,Informational,90,28,0.00,"Sitelinks, AI Overview, Image, Video, Related searches"
neuronas en el intestino,Informational,140,37,0.00,"AI Overview, Image, Video, Related searches"
serotonina intestino,Informational,40,32,0.00,"AI Overview, Image, Image pack, Video, Related searches"
probioticos para intestino,Informational,90,29,0.18,"Sitelinks, AI Overview, Image, Image pack, Related searches"
probioticos para la flora intestinal,Informational,880,35,0.18,"Sitelinks, AI Overview, Image, Image pack, Related searches"
gastritis y dolor de cabeza,Informational,140,23,0.00,"AI Overview, Image, Image pack, Video, Related searches"
eje intestino cerebro,Informational,880,24,0.01,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
