Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
sarcopenia,Informational,33100,46.0,0.02,"AI Overview, Image, Video, People also ask, Related searches"
atrofia muscular,Informational,8100,45.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
sarcopenia en el adulto mayor,Informational,3600,30.0,0.01,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
sarcopenia que es,Informational,2900,38.0,0.01,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
que es sarcopenia,Informational,1900,43.0,0.01,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
sindrome de fragilidad,Informational,1900,30.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
sarcopenia que es y causas,Informational,1600,23.0,0.01,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
síndrome de fragilidad,Informational,1600,26.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
perdida de masa muscular,Informational,1300,36.0,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
qué es fragilidad,Informational,1000,33.0,0.0,"Sitelinks, AI Overview, Video, Short videos, Related searches, See results about"
sarcopenia definicion,Informational,880,47.0,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
fragilidad en el adulto mayor,Informational,720,19.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
perdida de fuerza en las piernas repentina,Informational,590,31.0,0.0,"Sitelinks, AI Overview, Image, Video, People also ask"
debilidad muscular termino medico,Informational,590,32.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
enfermedad que no se puede sanar,Informational,480,47.0,0.0,"AI Overview, Image, Video, Related searches"
que es la sarcopenia y sus causas,Informational,480,30.0,0.01,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
sarcopenia significado,Informational,480,47.0,0.01,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
perdida de fuerza muscular en brazos y piernas,Informational,480,21.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom"
qué enfermedad causa pérdida de masa muscular,Informational,390,28.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
perdida de musculo,Informational,390,41.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches"
definicion de fragilidad,Informational,320,41.0,0.0,"Sitelinks, AI Overview, Instant answer, Video, Related searches, See results about"
causas de perdida de peso y masa muscular,Informational,320,27.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
