Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
disfagia,Informational,27100,53.0,0.04,"Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches"
odinofagia,Informational,14800,33.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
que es disfagia,Informational,9900,34.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
deglucion,Informational,5400,31.0,0.0,"Featured snippet, Image, Video, Video carousel, People also ask, Local pack, Knowledge panel, Related searches"
deglutir,"Informational, Transactional",3600,45.0,0.0,"Image pack, Video, Video carousel, Knowledge panel, Related searches"
que es la deglucion,Informational,2400,24.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
porque siento algo atorado en la garganta,Informational,2400,30.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
por que siento algo atorado en la garganta,Informational,1900,33.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
nudo en la garganta,Informational,1900,26.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
dificultad para tragar,Informational,1600,25.0,0.0,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
tragar,Informational,1600,37.0,0.0,"Image pack, Video, Video carousel, Knowledge panel, Related searches"
siento algo atorado en la garganta,Informational,1600,34.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
garganta cerrada,Informational,1600,42.0,0.18,"AI Overview, Image, Image pack, Video, Related searches"
disfagia esofágica,Informational,1300,20.0,0.05,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
disfagia esofagica,Informational,1300,23.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
globo histerico,Informational,1300,30.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
porque no puedo pasar saliva y siento que me ahogo,Informational,1000,20.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
siento algo en la garganta al pasar saliva,Informational,1000,28.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video"
disfsgia,Informational,1000,40.0,0.25,"AI Overview, Image, Video, Related searches"
tengo algo en la garganta que no se me quita,Informational,1000,37.0,0.2,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
molestia en la garganta como si tuviera algo,Informational,1000,25.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
porque se cierra la garganta,Informational,1000,34.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
odinofagia que es,Informational,1000,21.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
que es odinofagia,Informational,880,23.0,0.0,"Featured snippet, Image, Video, People also ask, Related searches"
disfagia tratamiento,Informational,880,24.0,0.11,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
disfajia,Informational,880,33.0,0.18,"AI Overview, Image, Image pack, Video, Related searches"
sensacion de tener algo en la garganta,Informational,880,28.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
sensación de tener algo atorado en la garganta,Informational,880,37.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
odinofagia y disfagia,Informational,880,28.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
deglutir significado,Informational,720,31.0,0.0,"AI Overview, Instant answer, Image pack, Video, People also ask, Related searches"
disfagia orofaringea,Informational,720,19.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches"
qué es odinofagia,Informational,720,27.0,0.0,"AI Overview, Image, Video, Video carousel, Related searches"
siento algo atorado en la garganta como flema,Informational,720,24.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
dolor al tragar,Informational,720,39.0,0.14,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
sentir algo atorado en la garganta,Informational,720,35.0,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
al pasar me quedo,Informational,720,31.0,0.0,"Image pack, Video, People also ask, Knowledge panel, Related searches"
sensacion de algo atorado en la garganta,Informational,720,41.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
que hay que hacer cuando se te cierra la garganta,Informational,720,35.0,0.07,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
por que se cierra la garganta,Informational,590,43.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
siento que la comida no me baja,Informational,590,22.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
esofago y traquea,Informational,590,31.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
